method,pde,dim,gen,mse_domain,mse_boundary,tree_size,rank
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,177,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,0.0084801157,0.0000000000,3,1
PISR-NSGA-II,Ginzburg-Landau,1,178,2.3138126418,0.0000000000,2,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,2.3138126418,0.0000000000,2,1
PISR-NSGA-II,Ginzburg-Landau,1,178,2.3138126418,0.0000000000,2,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,2.3138126418,0.0000000000,2,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,178,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,0.0084801157,0.0000000000,3,1
PISR-NSGA-II,Ginzburg-Landau,1,179,2.3138126418,0.0000000000,2,1
PISR-NSGA-II,Ginzburg-Landau,1,179,2.3138126418,0.0000000000,2,1
PISR-NSGA-II,Ginzburg-Landau,1,179,2.3138126418,0.0000000000,2,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,2.3138126418,0.0000000000,2,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
PISR-NSGA-II,Ginzburg-Landau,1,179,4.4716903260,0.0000000000,1,1
